time_s,log_time_s,sample_time_us,log_time_us,state,lagged,pressure_pa,temperature_c,baro_altitude_rel_m,smooth_altitude_m,dalt_dt_mps,dalt_dt_z,alignment_weight
0.0,0.047029,1122161038,1122208067,stale,False,97119,24.99,0.0,-0.026435224011849955,-0.06752336978648778,0.7056282974040466,0.9556282974040466
0.055929,0.057783,1122216967,1122218821,fresh,False,97120,24.99,-0.08685983462213498,-0.03021173856063843,-0.018259557986327835,0.7079534222255149,0.9579534222255149
0.076659,0.079303,1122237697,1122240341,fresh,False,97120,25.0,-0.08685983462213498,-0.030211738560638433,-0.18259811895018685,0.7001970661243776,0.9501970661243776
0.097357,0.100758,1122258395,1122261796,fresh,False,97118,24.99,0.08686055879402743,-0.037764736172694914,-0.18147787581009955,0.7002499387104792,0.9502499387104792
0.117834,0.122234,1122278872,1122283272,fresh,False,97120,25.01,-0.08685983462213498,-0.037764736172694914,0.09031997338387732,0.713078095982316,0.963078095982316
0.138596,0.143713,1122299634,1122304751,fresh,False,97116,25.01,0.2605838489617407,-0.03398819013817198,0.1783452653131571,0.7172326626653004,0.9672326626653004
0.16022,0.165228,1122321258,1122326266,fresh,False,97122,24.99,-0.2605773313851789,-0.03021164410364905,-0.21822187011353622,0.6985157169750321,0.9485157169750321
0.183668,0.186928,1122344706,1122347966,fresh,False,97119,24.99,0.0,-0.04531751338910387,-0.40006961492325854,0.6899329725682392,0.9399329725682392
0.205401,0.208417,1122366439,1122369455,fresh,False,97119,24.99,0.0,-0.049094027937892346,-0.44493966656483575,0.6878152218908128,0.9378152218908128
0.226668,0.229932,1122387706,1122390970,fresh,False,97121,25.0,-0.17371894507729913,-0.06419989722334717,-0.3487474269848223,0.6923552474330383,0.9423552474330383
0.247182,0.251419,1122408220,1122412457,fresh,False,97121,24.99,-0.17371894507729913,-0.06419989722334717,-4.092460731270938,0.5156616378608175,0.7656616378608175
