time_s,unix_time_s,utc_time,gps_altitude_asl_m,gps_altitude_agl_m,latitude_deg,longitude_deg,satellite_count,fix_type,horizontal_speed_mps,vertical_speed_mps,course_heading_deg,battery_v,distance_ft,distance_m,flags,rssi_dbm,count_gt_40,count_gt_32,count_gt_24,smooth_altitude_m,dalt_dt_mps,dalt_dt_z,alignment_weight
2.1999998092651367,1774896432.6,Mar 30 2026 13:47:12.600 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,-151,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,0.0,-0.3612930953981804,0.0
2.299999952316284,1774896432.7,Mar 30 2026 13:47:12.700 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,39,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,-1.1102230246251565e-16,-0.3612930953981804,0.0
2.3999998569488525,1774896432.8,Mar 30 2026 13:47:12.800 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,46,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,1.1102230246251565e-16,-0.3612930953981804,0.0
2.5,1774896432.9,Mar 30 2026 13:47:12.900 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,16,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,-1.1102230246251565e-16,-0.3612930953981804,0.0
2.5999999046325684,1774896433.0,Mar 30 2026 13:47:13.000 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,-119,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,0.0,-0.3612930953981804,0.0
2.6999998092651367,1774896433.1,Mar 30 2026 13:47:13.100 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,66,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,1.1102230246251565e-16,-0.3612930953981804,0.0
2.799999952316284,1774896433.2,Mar 30 2026 13:47:13.200 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,-163,4.046,0.0,0.0,1,-56,2,14,7,0.12192000000000001,0.03048006540303827,-0.3609634476388621,0.6109634476388621
2.8999998569488525,1774896433.3,Mar 30 2026 13:47:13.300 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,22,4.046,0.0,0.0,1,-56,2,14,7,0.12801600000000002,0.15239974565560566,-0.35964486288910474,0.6096448628891047
3.0,1774896433.4,Mar 30 2026 13:47:13.400 UTC,415.25952000000007,0.12192000000000001,33.49817,-99.33435,27,3,0.0,0.0,-153,4.046,0.0,0.0,1,-56,2,14,7,0.15240000000000004,0.9448814461346022,-0.35107402114683095,0.601074021146831
3.0999999046325684,1774896433.5,Mar 30 2026 13:47:13.500 UTC,415.29,0.1524,33.49817,-99.33435,25,3,0.0,0.6096,-62,4.052,0.0,0.0,1,-56,3,11,7,0.31699200000000005,3.931923749774694,-0.31876858513928386,0.5687685851392839
3.1999998092651367,1774896433.6,Mar 30 2026 13:47:13.600 UTC,415.38144,0.24384000000000003,33.49817,-99.33435,26,3,2.7432000000000003,2.1336,-91,4.052,0.0,0.0,1,-56,4,14,5,0.9387840000000001,9.997428605379962,-0.2531689855864307,0.5031689855864308
3.299999952316284,1774896433.7,Mar 30 2026 13:47:13.700 UTC,416.08248,0.94488,33.49817,-99.33435,26,3,3.3528000000000002,12.4968,-104,4.052,0.0,0.0,1,-56,4,10,9,2.3164800000000003,18.592807049036768,-0.1602083174586914,0.4102083174586914
3.3999998569488525,1774896433.8,Mar 30 2026 13:47:13.800 UTC,418.36848,3.23088,33.49817,-99.33435,26,3,2.1336,28.346400000000003,69,4.052,0.0,0.0,1,-56,3,9,11,4.657344,29.169339310946988,-0.0458210904172405,0.2958210904172405
3.5,1774896433.9,Mar 30 2026 13:47:13.900 UTC,422.148,7.010400000000001,33.49816,-99.33434,27,3,4.572,40.8432,78,4.052,2.7184,0.82856832,1,-56,2,12,9,8.150352000000002,41.66616612619269,0.08933449090323148,0.3393344909032315
3.5999999046325684,1774896434.0,Mar 30 2026 13:47:14.000 UTC,426.9943200000001,11.856720000000001,33.49817,-99.33434,27,3,6.096,49.6824,91,4.052,2.3125,0.7048500000000001,1,-56,2,12,8,12.990576,54.83357229336957,0.23174251666193432,0.48174251666193435
3.6999998092651367,1774896434.1,Mar 30 2026 13:47:14.100 UTC,432.84648,17.70888,33.49817,-99.33434,26,3,8.8392,59.1312,104,4.052,4.6355,1.4129004000000003,1,-56,2,11,7,19.117056,67.45220916632884,0.3682154971433575,0.6182154971433576
3.799999952316284,1774896434.2,Mar 30 2026 13:47:14.200 UTC,440.28360000000004,25.146,33.49816,-99.33432,22,3,13.716000000000001,71.0184,103,4.052,9.396,2.8639008000000006,1,-37,2,9,6,26.481024000000005,79.61375526214117,0.4997449531113295,0.7497449531113295
3.8999998569488525,1774896434.3,Mar 30 2026 13:47:14.300 UTC,449.00088,33.86328,33.49815,-99.3343,20,3,18.5928,84.12480000000001,115,4.052,14.5522,4.43551056,1,-37,2,8,6,35.03980800000001,91.62284376701902,0.629625550962429,0.879625550962429
4.0,1774896434.4,Mar 30 2026 13:47:14.400 UTC,458.96784,43.83024,33.49814,-99.33428,20,3,27.127200000000002,97.2312,120,4.052,22.5201,6.86412648,1,-37,2,8,5,44.805600000000005,103.26622875097965,0.7555509950219906,1.0055509950219905
4.099999904632568,1774896434.5,Mar 30 2026 13:47:14.500 UTC,469.78824000000003,54.65064,33.49813,-99.33425,18,3,34.4424,106.68,121,4.052,33.2638,10.138806240000001,1,-37,2,9,4,55.69305600000001,114.39154909228242,0.8758734705059948,1.125873470505995
4.199999809265137,1774896434.6,Mar 30 2026 13:47:14.600 UTC,481.67544000000004,66.53784,33.49811,-99.33422,17,3,39.0144,116.73840000000001,125,4.052,44.0535,13.4275068,1,-37,2,9,4,67.68388800000001,125.39467702334184,0.9948744116130289,1.2448744116130288
4.299999952316284,1774896434.7,Mar 30 2026 13:47:14.700 UTC,494.72088,79.58328000000002,33.49809,-99.33418,17,3,43.281600000000005,128.62560000000002,126,4.052,58.2198,17.745395040000002,1,-37,4,6,4,80.772,136.51990089545086,1.1151958437641811,1.3651958437641811
