time_s,barometer_v1
0.0,96453.54835105537
0.01,96454.22919638117
0.02,96453.86263866842
0.03,96453.89837085073
0.04,96453.72638964797
0.05,96453.8878977057
0.06,96453.63154755888
0.07,96452.52572102554
0.08,96452.86864152108
0.09,96451.74001989921
0.1,96453.78234297983
0.11,96449.91304148408
0.12,96449.08261278245
0.13,96447.72235805327
0.14,96448.70026864817
0.15,96444.22964248493
0.16,96444.82429821033
0.17,96440.99450363411
0.18,96441.92954819094
0.19,96439.62463292066
0.2,96437.09194231224
0.21,96435.44810824493
0.22,96433.669320324
0.23,96433.10263582453
0.24,96430.78441525249
0.25,96428.08335075897
0.26,96423.90400372472
0.27,96421.85032945387
0.28,96420.26729952767
0.29,96416.08197873969
0.3,96412.55472775661
0.31,96410.14197398267
0.32,96404.43638818311
0.33,96402.9128414058
0.34,96400.7593046372
0.35000000000000003,96395.01880771562
0.36,96393.68416809436
0.37,96389.7527261816
0.38,96385.68697723179
0.39,96382.36182467132
0.4,96377.50271737778
0.41000000000000003,96374.4120935253
0.42,96369.28274165485
0.43,96366.47131174916
0.44,96359.90062575258
0.45,96355.56678834454
0.46,96350.14023934558
0.47000000000000003,96346.47786188003
0.48,96343.16319368294
0.49,96337.30764854013
0.5,96332.11200613293
0.51,96325.64433864992
0.52,96321.08375133554
0.53,96315.41779038607
0.54,96309.0667526186
0.55,96302.74966015982
0.56,96296.67141935242
0.5700000000000001,96292.61304120945
0.58,96285.27999263933
0.59,96280.3064430707
0.6,96274.792050165
0.61,96267.26215691416
0.62,96261.9530058854
0.63,96253.99262462335
0.64,96248.8691267171
0.65,96241.04800553872
0.66,96232.24934933803
0.67,96226.07407038614
0.68,96216.75536732086
0.6900000000000001,96211.66089214719
0.7000000000000001,96203.48953405698
0.71,96196.01035656096
0.72,96187.56388413683
0.73,96180.84783862095
0.74,96172.3104652767
0.75,96163.75892881137
0.76,96155.84972440498
0.77,96148.30195311274
0.78,96140.51649618025
0.79,96132.68950149558
0.8,96123.19184263948
0.81,96114.80698168697
0.8200000000000001,96105.80407380438
0.8300000000000001,96095.9493324186
0.84,96087.31018434203
0.85,96078.92951606645
0.86,96068.36273345994
0.87,96058.42917830127
0.88,96046.51596681448
0.89,96039.274397979
0.9,96029.91167356384
0.91,96018.81665327499
0.92,96007.90199705087
0.93,95999.08856925216
0.9400000000000001,95988.3413228715
0.9500000000000001,95977.83517843919
0.96,95966.30941056304
0.97,95956.34661467992
0.98,95945.28586156783
0.99,95933.38681255389
1.0,95924.57942579206
1.01,95912.11803007191
1.02,95898.55241692308
1.03,95887.48202938034
1.04,95875.01677635557
1.05,95864.55926270885
1.06,95853.36242549492
1.07,95841.17280309311
1.08,95828.86928633506
1.09,95816.13783171425
1.1,95805.43776542712
1.11,95793.13852486758
1.12,95778.30838228785
1.1300000000000001,95767.9217102835
1.1400000000000001,95754.63225355255
1.1500000000000001,95740.17102722355
1.16,95726.69650298094
1.17,95711.3793493531
1.18,95701.48642015365
1.19,95685.80576407722
1.2,95672.84739954319
1.21,95658.32122699493
1.22,95646.1873865452
1.23,95630.73081139788
1.24,95618.46783297007
1.25,95602.0603170754
1.26,95587.98222605209
1.27,95572.20545293753
1.28,95558.01002876076
1.29,95541.96528261488
1.3,95529.5823940445
1.31,95513.93160227458
1.32,95498.45828727883
1.33,95483.94738934247
1.34,95467.63791233105
1.35,95451.50859942749
1.36,95435.76251258737
1.37,95419.47390038423
1.3800000000000001,95405.13034944341
1.3900000000000001,95386.8551160728
1.4000000000000001,95372.2865318177
1.41,95354.52067490004
1.42,95337.73406615805
1.43,95321.7235659539
1.44,95304.9652564277
1.45,95287.59026341206
1.46,95273.38694136331
1.47,95254.41485879716
1.48,95237.04063244998
1.49,95219.93595742136
1.5,95202.50476058826
1.51,95184.5460548611
1.52,95165.921464289
1.53,95147.41051723102
1.54,95129.49890902199
1.55,95111.75175923505
1.56,95093.25907139794
1.57,95074.54595589949
1.58,95057.73724563031
1.59,95037.54162931547
1.6,95018.46439934285
1.61,94999.78481679829
1.62,94981.27489783076
1.6300000000000001,94962.55854675893
1.6400000000000001,94941.66324150431
1.6500000000000001,94920.9546252166
1.6600000000000001,94902.57736676528
1.67,94882.76066844047
1.68,94863.97957352613
1.69,94841.08718931407
1.7,94822.32790365092
1.71,94802.52673685344
1.72,94783.39678295547
1.73,94760.68607043583
1.74,94741.4183967742
1.75,94719.04284580807
1.76,94698.536877628
1.77,94680.58871202901
1.78,94656.49046534074
1.79,94635.24181848356
1.8,94613.77128967433
1.81,94592.14678351788
1.82,94573.36054811493
1.83,94549.36838206708
1.84,94527.83678175259
1.85,94506.92383634561
1.86,94485.46355259929
1.87,94462.12449266759
1.8800000000000001,94438.71214644352
1.8900000000000001,94418.50828654776
1.9000000000000001,94394.7355694154
1.9100000000000001,94371.9153441465
1.92,94347.60127132568
1.93,94325.3923512187
1.94,94301.96739828977
1.95,94278.43110189469
1.96,94255.11031332178
1.97,94230.6791995711
1.98,94209.88259470947
1.99,94184.53165905627
2.0,94160.7761158925
2.0100000000000002,94136.90891817962
2.02,94112.89815902356
2.0300000000000002,94089.40767094336
2.04,94065.70099963834
2.05,94040.68392947005
2.06,94016.66808274743
2.07,93992.65826420029
2.08,93966.76011428944
2.09,93940.95059338676
2.1,93917.3253650015
2.11,93892.56701629689
2.12,93870.49811228446
2.13,93843.99951963853
2.14,93816.652432084
2.15,93790.40847629767
2.16,93766.28198710595
2.17,93740.7359329423
2.18,93715.28324529243
2.19,93688.60870179189
2.2,93660.72172258272
2.21,93636.34808475626
2.22,93610.1275441484
2.23,93584.43674922704
2.24,93558.44645919466
2.25,93532.22878676756
2.2600000000000002,93504.70566389398
2.27,93478.54803364843
2.2800000000000002,93451.55808267844
2.29,93424.76325409887
2.3000000000000003,93395.42483006141
2.31,93369.09958743575
2.32,93344.02231852572
2.33,93316.34771104158
2.34,93287.99792257352
2.35,93261.36971188035
2.36,93234.21867210604
2.37,93206.3408060542
2.38,93179.33344630971
2.39,93149.95070108766
2.4,93123.39161115052
2.41,93096.1706232911
2.42,93066.01827063703
2.43,93038.73224322966
2.44,93012.54018647157
2.45,92981.86742236478
2.46,92953.2547071871
2.47,92924.99821049551
2.48,92899.05746379575
2.49,92869.67741256878
2.5,92839.85975126183
2.5100000000000002,92812.48274954766
2.52,92782.88470764195
2.5300000000000002,92755.18582185781
2.54,92728.02119578821
2.5500000000000003,92698.98098241205
2.56,92669.64725990221
2.57,92639.968768473
2.58,92609.48503856492
2.59,92580.72726093643
2.6,92552.83949189752
2.61,92521.20535095234
2.62,92495.41063993823
2.63,92466.98055911911
2.64,92437.89839567125
2.65,92408.74595850357
2.66,92379.77414115632
2.67,92351.43551237514
2.68,92320.71230632595
2.69,92292.6504713796
2.7,92263.42105779648
2.71,92236.76012168397
2.72,92205.57606027396
2.73,92175.52458808002
2.74,92147.80798537837
2.75,92117.0292433438
2.7600000000000002,92088.38030511113
2.77,92056.77139988776
2.7800000000000002,92028.14433666895
2.79,91999.28962315105
2.8000000000000003,91971.49957370554
2.81,91940.58901835661
2.82,91910.85865864524
2.83,91880.83320140086
2.84,91853.0296952564
2.85,91822.76379549401
2.86,91791.93910749741
2.87,91762.43733209973
2.88,91734.17871634554
2.89,91702.79262616253
2.9,91675.19013942644
2.91,91645.20190567191
2.92,91614.54228278284
2.93,91584.77605552909
2.94,91554.62378013234
2.95,91526.86943546947
2.96,91497.11441802456
2.97,91466.09684531116
2.98,91434.58086580865
2.99,91406.08952404463
3.0,91377.93984816613
3.0100000000000002,91346.44552708762
3.02,91315.86707141247
3.0300000000000002,91288.16069006563
3.04,91258.57394586712
3.0500000000000003,91226.67806992734
3.06,91197.39842995661
3.0700000000000003,91167.64390786488
3.08,91136.4874828265
3.09,91106.96374205648
3.1,91078.02136070533
3.11,91047.10622573519
3.12,91016.79875001262
3.13,90986.52425593174
3.14,90956.26014311412
3.15,90925.31823888449
3.16,90896.17209490873
3.17,90867.46310530152
3.18,90834.90224417216
3.19,90806.59982839046
3.2,90775.53940622685
3.21,90745.58444942103
3.22,90717.42429494481
3.23,90684.45778383028
3.24,90655.60107370946
3.25,90624.87352460918
3.2600000000000002,90594.87500523984
3.27,90563.23531742682
3.2800000000000002,90533.90099009659
3.29,90504.84584326521
3.3000000000000003,90473.88336081324
3.31,90442.98461214064
3.3200000000000003,90411.4187925513
3.33,90382.59434171143
3.34,90352.24981352437
3.35,90323.28794503449
3.36,90292.75514768287
3.37,90262.00668988752
3.38,90231.34329416048
3.39,90201.64284790342
3.4,90171.15692999733
3.41,90140.9396676842
3.42,90110.02336127323
3.43,90079.1618198107
3.44,90050.30825375963
3.45,90018.46657591328
3.46,89988.64586248927
3.47,89958.30477168992
3.48,89927.79033285673
3.49,89897.90218090607
3.5,89867.88386085174
3.5100000000000002,89837.41234912178
3.52,89808.02870437973
3.5300000000000002,89777.6101803528
3.54,89747.13911433402
3.5500000000000003,89716.90304139684
3.56,89686.88751435404
3.5700000000000003,89657.38126813796
3.58,89628.67445557447
3.59,89597.02576448795
3.6,89567.71402772557
3.61,89536.7741063286
3.62,89506.48558063885
3.63,89479.4282638742
3.64,89447.63057741828
3.65,89417.35770791382
3.66,89386.56765031927
3.67,89357.76734387779
3.68,89328.21867129942
3.69,89297.75018013096
3.7,89267.66843947554
3.71,89238.26531361394
3.72,89209.05305853086
3.73,89179.74898717974
3.74,89151.66492807903
3.75,89119.95974713258
3.7600000000000002,89089.97032652143
3.77,89060.9704003107
3.7800000000000002,89031.16688649426
3.79,89002.08745381991
3.8000000000000003,88970.48888193845
3.81,88944.92155864408
3.8200000000000003,88916.35683553318
3.83,88886.79843027372
3.84,88856.79983270232
3.85,88826.98643264618
3.86,88796.20305722377
3.87,88767.36215172517
3.88,88738.48390951725
3.89,88711.64384204756
3.9,88680.58202902776
3.91,88651.18499539669
3.92,88619.87891254378
3.93,88593.40199815
3.94,88564.46567469163
3.95,88535.51093832485
3.96,88505.72797022064
3.97,88477.64111219818
3.98,88450.34660167168
3.99,88420.11601560388
4.0,88392.45220731146
4.01,88364.20062661963
4.0200000000000005,88335.2654448813
4.03,88305.80194717376
4.04,88279.61561317819
4.05,88248.02825079659
4.0600000000000005,88220.16485088867
4.07,88193.49575100387
4.08,88163.52571790967
4.09,88136.1455285994
4.1,88107.93990182506
4.11,88078.904532847
4.12,88050.25109115684
4.13,88023.5883672159
4.14,87995.04366433976
4.15,87965.23448826079
4.16,87939.52902449902
4.17,87910.25401820941
4.18,87880.34629328258
4.19,87854.26617069662
4.2,87825.78751634013
4.21,87799.6401377271
4.22,87769.16288890042
4.23,87741.10901030115
4.24,87714.4596285343
4.25,87688.05802589393
4.26,87660.07488410221
4.2700000000000005,87630.97903513095
4.28,87604.58928091312
4.29,87574.85417337743
4.3,87549.21118780135
4.3100000000000005,87519.01269279078
4.32,87492.4630853247
4.33,87465.70061442717
4.34,87439.08287313065
4.3500000000000005,87410.39905408148
4.36,87380.6669662262
4.37,87353.3297731638
4.38,87328.25863174615
4.39,87301.26908541267
4.4,87273.04191194406
4.41,87245.58048793113
4.42,87218.64527169356
4.43,87191.79645477569
4.44,87162.33714059723
4.45,87138.68439114472
4.46,87108.83907099761
4.47,87082.27386252064
4.48,87055.61276112545
4.49,87027.80631286434
4.5,87001.00082809293
4.51,86974.8541822606
4.5200000000000005,86946.33787130516
4.53,86920.01064809445
4.54,86893.31499410744
4.55,86866.45749638828
4.5600000000000005,86839.3871229836
4.57,86811.87687269658
4.58,86785.23716526384
4.59,86760.08626680139
4.6000000000000005,86733.52465380459
4.61,86704.58747185487
4.62,86680.58563451545
4.63,86653.32456991385
4.64,86625.57145713938
4.65,86600.25707028895
4.66,86573.57019075305
4.67,86547.19369894773
4.68,86519.13157833877
4.69,86492.29097644152
4.7,86466.89992074492
4.71,86440.65952837496
4.72,86415.15813448417
4.73,86388.8969455875
4.74,86359.78262441303
4.75,86334.61364449066
4.76,86309.73520839147
4.7700000000000005,86283.15606400021
4.78,86257.00368314145
4.79,86231.09153412747
4.8,86204.39485798091
4.8100000000000005,86180.23491471264
4.82,86152.11589251534
4.83,86126.97091651536
4.84,86101.05144126693
4.8500000000000005,86075.16751807314
4.86,86047.69935072912
4.87,86023.2467453561
4.88,85997.77256993568
4.89,85970.54399867642
4.9,85944.28949562229
4.91,85918.91884331065
4.92,85894.28144008074
4.93,85869.5888612412
4.94,85842.9194002753
4.95,85817.26700284342
4.96,85792.3300771606
4.97,85767.26645178978
4.98,85740.34820708958
4.99,85714.9957276256
5.0,85690.43852639302
5.01,85662.93648520041
5.0200000000000005,85639.20107889027
5.03,85611.74471091486
5.04,85588.5639533716
5.05,85561.401179177
5.0600000000000005,85536.6249895682
5.07,85510.11450360429
5.08,85486.60849006531
5.09,85460.9878850773
5.1000000000000005,85434.47006030004
5.11,85408.45005012133
5.12,85385.76915940359
5.13,85359.87295709387
