time_s,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
0.0,-0.00448478226105373,0.001148933157758617,-9.76819544639429,-0.0016984700319147155,-0.0005090091843753506,0.0010771229658291398
0.0033333333333333335,-0.0038782238997616745,0.0012525899878554692,7.5872537594234055,-0.0005826183926625687,4.4446263534953464e-05,-0.0016456106708123675
0.006666666666666667,0.002709534527012649,-0.005599097029613335,12.076827305153877,-0.0028582889652180687,-0.00306991515797207,0.0005171271130150252
0.01,-0.004872633155956098,-0.00333454197117113,16.568298476029664,0.0006568632540357332,0.0004997158186567688,-0.0035159739336185314
0.013333333333333334,0.0031119849116021153,0.0061276155513005715,21.066149607234752,0.0013704528294323877,0.0020146014597320523,0.0011385537989123359
0.016666666666666666,-0.006228193272218031,-0.0074362112521138835,25.5809913303682,-0.0033475698991316987,-0.0012988275556339063,-0.00033407009909023125
0.02,0.0022619722243758,-0.0013807200269536964,30.07524361047682,0.001736552062020326,-0.0014287778333375047,0.0010206975850513703
0.023333333333333334,0.009858585332986364,0.007282078543475021,34.56956799626131,-0.003451879645359799,0.0029890207890871726,-0.00012062757030689639
0.02666666666666667,0.007617252904931034,0.0012292405949098151,39.06551414719831,0.0012220442195099558,0.0010279348231736125,-0.0002565324557370514
0.03,0.0022331020241831943,-0.003911066009468736,43.55470664526261,-0.0009015759531477919,2.9551198036288162e-05,0.0017346367000179047
0.03333333333333333,-0.002429107710185331,-0.0011465002780759789,48.05485365750767,-0.0008716685895184427,-0.0004179301151485311,-0.001422110190776671
0.03666666666666667,-8.168760759917263e-05,-0.00034964621374627763,52.54315417544578,0.0008460382309191316,0.0011833988881645682,0.0017560312189558612
0.04,0.0020816845652471662,-0.006337860152306887,57.042773878968205,-0.0035136277336668413,-0.0003242043494198577,0.00015246739485437103
0.043333333333333335,-0.0033694548879760916,0.004297536238149194,60.90646438079243,-0.0026888918623651985,0.0016683217725682845,-0.0001505066210013702
0.04666666666666667,-0.006158075194964548,0.009920254493226283,64.71930348602206,0.00123122787823768,0.0035589110245768728,-0.0006111490648607905
0.05,0.0038581487591296958,0.0054441595982989855,68.56555740744928,0.0008860050239563603,0.0008433202685334525,-0.0011351285062784287
0.05333333333333334,0.0049795289909446054,0.0017034166443480952,72.40857825593628,-0.0004244746554135013,-0.0007225394067929118,0.0020943539329105563
0.05666666666666667,-0.0019856621757748283,-0.00016403738485778842,76.24254711776264,-0.0002729354877359306,-0.00027212165301913335,0.0022058290038826406
0.06,-0.008769808252664112,0.004201133347069065,80.08389869569784,-0.0016011542995245827,0.001720935588999839,-0.0016124227597961115
0.06333333333333334,-0.005606623195357499,0.0031554163723818787,81.27357850368728,-0.0008892186578704433,-0.0008484968466383971,-0.0016235657144510448
0.06666666666666667,-0.0020624690300991033,0.006244339511932178,82.39293020039568,0.0013746096489538062,-0.0027835704323778657,-0.0006580919024685441
