time_s,barometer_v1
0.0,96454.02083860147
0.01,96455.87458843649
0.02,96454.11919317394
0.03,96457.50929363609
0.04,96454.91359482863
0.05,96453.69501404883
0.06,96452.24066401664
0.07,96453.66584393448
0.08,96453.36775865057
0.09,96452.49745694581
0.1,96450.84085499699
0.11,96450.42924586387
0.12,96449.09663147034
0.13,96447.89368402015
0.14,96447.14881357539
0.15,96445.273425029
0.16,96444.99379617673
0.17,96444.23572937486
0.18,96441.4640338726
0.19,96439.19515511545
0.2,96438.08508581416
0.21,96435.4234059126
0.22,96432.06281763414
0.23,96432.81300036186
0.24,96428.48741036504
0.25,96428.03110916486
0.26,96423.10694139975
0.27,96419.74642970228
0.28,96418.74735126791
0.29,96415.66550929804
0.3,96412.9527435236
0.31,96411.45723275478
0.32,96407.8552937954
0.33,96403.4100301007
0.34,96400.56300274796
0.35000000000000003,96395.48891717623
0.36,96392.98241936255
0.37,96389.47699840496
0.38,96386.26905263634
0.39,96381.12881879036
0.4,96378.16124202892
0.41000000000000003,96374.84702416549
0.42,96367.56113463138
0.43,96365.90168620838
0.44,96361.16354302898
0.45,96358.1846072399
0.46,96349.52603732694
0.47000000000000003,96347.64389723641
0.48,96341.47124789076
0.49,96336.15849641719
0.5,96329.44297526487
0.51,96324.37688058084
0.52,96320.67855762152
0.53,96315.35051055893
0.54,96309.23896548562
0.55,96305.57690316321
0.56,96296.9126900177
0.5700000000000001,96291.74643680835
0.58,96286.19227825836
0.59,96279.61059477883
0.6,96272.92055690342
0.61,96268.13906741775
0.62,96259.52301214212
0.63,96252.7766831605
0.64,96247.69582143018
0.65,96240.25910214482
0.66,96233.1916871864
0.67,96227.16500858092
0.68,96219.65118038663
0.6900000000000001,96210.99979014658
0.7000000000000001,96204.9001141978
0.71,96196.68007572014
0.72,96189.9810371127
0.73,96182.89538614723
0.74,96172.14496815356
0.75,96164.22392389688
0.76,96157.19325361641
0.77,96149.12863292616
0.78,96139.91632937286
0.79,96130.32241593182
0.8,96122.35150220325
0.81,96114.21036211979
0.8200000000000001,96105.23882199831
0.8300000000000001,96095.00988645227
0.84,96086.808087657
0.85,96078.6235199005
0.86,96067.03377619591
0.87,96057.57134791154
0.88,96049.0655152061
0.89,96039.60127792263
0.9,96029.16547879232
0.91,96018.25441307813
0.92,96009.18403846683
0.93,95998.54743153151
0.9400000000000001,95989.27072286364
0.9500000000000001,95978.60726502346
0.96,95967.69195696732
0.97,95954.91110516185
0.98,95944.62275724176
0.99,95934.0678214943
1.0,95922.71545948136
1.01,95911.86065819523
1.02,95900.68862949178
1.03,95888.52761147475
1.04,95876.95621896815
1.05,95864.20227356114
1.06,95853.5764037744
1.07,95843.00505984869
1.08,95830.03564596716
1.09,95816.59083970949
1.1,95804.37867428751
1.11,95790.98175175578
1.12,95779.77255785035
1.1300000000000001,95768.74744480087
1.1400000000000001,95754.12455949685
1.1500000000000001,95742.27303564677
1.16,95725.59928854727
1.17,95714.13277678774
1.18,95699.74120791246
1.19,95688.67506369542
1.2,95673.4812465101
1.21,95658.57837242783
1.22,95644.12169673326
1.23,95633.20478594933
1.24,95616.95566293273
1.25,95601.37679812853
1.26,95587.92936853245
1.27,95573.88814357316
1.28,95559.51803132005
1.29,95543.38725632693
1.3,95531.08795270568
1.31,95514.54959604057
1.32,95496.4643000291
1.33,95484.9391227357
1.34,95467.67835646785
1.35,95451.6202508814
1.36,95435.17893130686
1.37,95420.33410789474
1.3800000000000001,95403.73661737282
1.3900000000000001,95388.58652404905
1.4000000000000001,95370.72447557337
1.41,95356.45653568454
1.42,95339.40529376661
1.43,95322.18631679991
1.44,95305.8838274649
1.45,95287.49210589186
1.46,95270.24570409353
1.47,95252.99421439123
1.48,95237.25359507297
1.49,95221.8732522321
1.5,95202.1213733762
1.51,95183.93650884861
1.52,95164.64139232523
1.53,95148.09534675372
1.54,95129.70027032237
1.55,95110.96387435458
1.56,95092.96063264139
1.57,95073.72633632296
1.58,95056.29376294804
1.59,95037.23625082399
