# Simulation 13 (Up to date)
# 1060 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (25.3 m/s):  "Main Parachute + Bag"
#
# Time (s),Angle of attack (°),Thrust (N),Drag coefficient (​),Axial drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
150.793,NaN,0,717.781,717.781,0.016
151.07,NaN,0,717.781,717.781,0.016
151.347,NaN,0,717.781,717.781,0.016
151.624,NaN,0,717.781,717.781,0.016
151.901,NaN,0,717.781,717.781,0.016
152.178,NaN,0,717.781,717.781,0.016
152.454,NaN,0,717.781,717.781,0.016
152.731,NaN,0,717.781,717.781,0.016
153.008,NaN,0,717.781,717.781,0.016
153.285,NaN,0,717.781,717.781,0.016
153.562,NaN,0,717.781,717.781,0.016
153.839,NaN,0,717.781,717.781,0.016
154.115,NaN,0,717.781,717.781,0.016
154.393,NaN,0,717.781,717.781,0.016
154.669,NaN,0,717.781,717.781,0.016
154.946,NaN,0,717.781,717.781,0.016
155.223,NaN,0,717.781,717.781,0.016
155.5,NaN,0,717.781,717.781,0.016
155.776,NaN,0,717.781,717.781,0.016
156.053,NaN,0,717.781,717.781,0.016
156.33,NaN,0,717.781,717.781,0.016
156.606,NaN,0,717.781,717.781,0.016
156.883,NaN,0,717.781,717.781,0.016
157.16,NaN,0,717.781,717.781,0.016
157.437,NaN,0,717.781,717.781,0.016
157.713,NaN,0,717.781,717.781,0.016
157.99,NaN,0,717.781,717.781,0.016
158.266,NaN,0,717.781,717.781,0.016
158.543,NaN,0,717.781,717.781,0.016
158.819,NaN,0,717.781,717.781,0.016
159.096,NaN,0,717.781,717.781,0.016
159.372,NaN,0,717.781,717.781,0.016
159.648,NaN,0,717.781,717.781,0.016
159.925,NaN,0,717.781,717.781,0.016
160.201,NaN,0,717.781,717.781,0.016
160.477,NaN,0,717.781,717.781,0.016
160.754,NaN,0,717.781,717.781,0.016
161.03,NaN,0,717.781,717.781,0.016
161.306,NaN,0,717.781,717.781,0.016
161.582,NaN,0,717.781,717.781,0.016
161.859,NaN,0,717.781,717.781,0.016
162.135,NaN,0,717.781,717.781,0.016
162.411,NaN,0,717.781,717.781,0.016
162.687,NaN,0,717.781,717.781,0.016
162.963,NaN,0,717.781,717.781,0.016
163.239,NaN,0,717.781,717.781,0.016
163.515,NaN,0,717.781,717.781,0.016
163.792,NaN,0,717.781,717.781,0.016
164.068,NaN,0,717.781,717.781,0.016
164.344,NaN,0,717.781,717.781,0.016
164.62,NaN,0,717.781,717.781,0.016
164.896,NaN,0,717.781,717.781,0.016
165.172,NaN,0,717.781,717.781,0.016
165.448,NaN,0,717.781,717.781,0.016
165.724,NaN,0,717.781,717.781,0.016
166,NaN,0,717.781,717.781,0.016
166.275,NaN,0,717.781,717.781,0.016
166.551,NaN,0,717.781,717.781,0.016
166.827,NaN,0,717.781,717.781,0.016
167.103,NaN,0,717.781,717.781,0.016
167.379,NaN,0,717.781,717.781,0.016
167.655,NaN,0,717.781,717.781,0.016
167.931,NaN,0,717.781,717.781,0.016
168.207,NaN,0,717.781,717.781,0.016
168.482,NaN,0,717.781,717.781,0.016
168.758,NaN,0,717.781,717.781,0.016
169.034,NaN,0,717.781,717.781,0.016
169.31,NaN,0,717.781,717.781,0.016
169.585,NaN,0,717.781,717.781,0.016
169.861,NaN,0,717.781,717.781,0.016
170.137,NaN,0,717.781,717.781,0.016
170.413,NaN,0,717.781,717.781,0.016
170.688,NaN,0,717.781,717.781,0.016
170.964,NaN,0,717.781,717.781,0.016
171.239,NaN,0,717.781,717.781,0.016
171.515,NaN,0,717.781,717.781,0.016
171.79,NaN,0,717.781,717.781,0.016
172.066,NaN,0,717.781,717.781,0.016
172.341,NaN,0,717.781,717.781,0.016
172.617,NaN,0,717.781,717.781,0.016
172.892,NaN,0,717.781,717.781,0.016
173.168,NaN,0,717.781,717.781,0.016
173.443,NaN,0,717.781,717.781,0.016
173.718,NaN,0,717.781,717.781,0.016
173.994,NaN,0,717.781,717.781,0.016
174.269,NaN,0,717.781,717.781,0.016
174.544,NaN,0,717.781,717.781,0.016
174.82,NaN,0,717.781,717.781,0.016
175.095,NaN,0,717.781,717.781,0.016
175.37,NaN,0,717.781,717.781,0.016
175.645,NaN,0,717.781,717.781,0.016
175.921,NaN,0,717.781,717.781,0.016
176.196,NaN,0,717.781,717.781,0.016
176.471,NaN,0,717.781,717.781,0.016
176.746,NaN,0,717.781,717.781,0.016
177.021,NaN,0,717.781,717.781,0.016
177.296,NaN,0,717.781,717.781,0.016
177.572,NaN,0,717.781,717.781,0.016
177.847,NaN,0,717.781,717.781,0.016
178.122,NaN,0,717.781,717.781,0.016
178.397,NaN,0,717.781,717.781,0.016
178.672,NaN,0,717.781,717.781,0.016
178.947,NaN,0,717.781,717.781,0.016
179.222,NaN,0,717.781,717.781,0.016
179.497,NaN,0,717.781,717.781,0.016
179.772,NaN,0,717.781,717.781,0.016
180.047,NaN,0,717.781,717.781,0.016
180.321,NaN,0,717.781,717.781,0.016
180.596,NaN,0,717.781,717.781,0.016
180.871,NaN,0,717.781,717.781,0.016
181.146,NaN,0,717.781,717.781,0.016
181.421,NaN,0,717.781,717.781,0.016
181.696,NaN,0,717.781,717.781,0.016
181.971,NaN,0,717.781,717.781,0.016
182.245,NaN,0,717.781,717.781,0.016
182.521,NaN,0,717.781,717.781,0.016
182.795,NaN,0,717.781,717.781,0.016
183.071,NaN,0,717.781,717.781,0.016
183.346,NaN,0,717.781,717.781,0.016
183.62,NaN,0,717.781,717.781,0.016
183.895,NaN,0,717.781,717.781,0.016
184.17,NaN,0,717.781,717.781,0.016
184.444,NaN,0,717.781,717.781,0.016
184.719,NaN,0,717.781,717.781,0.016
184.994,NaN,0,717.781,717.781,0.016
185.268,NaN,0,717.781,717.781,0.016
185.543,NaN,0,717.781,717.781,0.016
185.817,NaN,0,717.781,717.781,0.016
186.092,NaN,0,717.781,717.781,0.016
186.366,NaN,0,717.781,717.781,0.016
186.641,NaN,0,717.781,717.781,0.016
186.915,NaN,0,717.781,717.781,0.016
187.19,NaN,0,717.781,717.781,0.016
187.464,NaN,0,717.781,717.781,0.016
187.739,NaN,0,717.781,717.781,0.016
188.013,NaN,0,717.781,717.781,0.016
188.287,NaN,0,717.781,717.781,0.016
188.562,NaN,0,717.781,717.781,0.016
188.836,NaN,0,717.781,717.781,0.016
189.11,NaN,0,717.781,717.781,0.016
189.385,NaN,0,717.781,717.781,0.016
189.659,NaN,0,717.781,717.781,0.016
189.933,NaN,0,717.781,717.781,0.016
190.207,NaN,0,717.781,717.781,0.016
190.482,NaN,0,717.781,717.781,0.016
190.756,NaN,0,717.781,717.781,0.016
191.03,NaN,0,717.781,717.781,0.016
191.304,NaN,0,717.781,717.781,0.016
191.804,NaN,0,717.781,717.781,0.016
192.078,NaN,0,717.781,717.781,0.016
192.352,NaN,0,717.781,717.781,0.016
192.626,NaN,0,717.781,717.781,0.016
192.9,NaN,0,717.781,717.781,0.016
193.174,NaN,0,717.781,717.781,0.016
193.448,NaN,0,717.781,717.781,0.016
193.722,NaN,0,717.781,717.781,0.016
193.996,NaN,0,717.781,717.781,0.016
194.27,NaN,0,717.781,717.781,0.016
194.544,NaN,0,717.781,717.781,0.016
194.818,NaN,0,717.781,717.781,0.016
195.092,NaN,0,717.781,717.781,0.016
195.366,NaN,0,717.781,717.781,0.016
195.64,NaN,0,717.781,717.781,0.016
195.914,NaN,0,717.781,717.781,0.016
196.188,NaN,0,717.781,717.781,0.016
196.462,NaN,0,717.781,717.781,0.016
196.735,NaN,0,717.781,717.781,0.016
197.009,NaN,0,717.781,717.781,0.016
197.283,NaN,0,717.781,717.781,0.016
197.557,NaN,0,717.781,717.781,0.016
197.83,NaN,0,717.781,717.781,0.016
198.104,NaN,0,717.781,717.781,0.016
198.378,NaN,0,717.781,717.781,0.016
198.652,NaN,0,717.781,717.781,0.016
198.925,NaN,0,717.781,717.781,0.016
199.199,NaN,0,717.781,717.781,0.016
199.473,NaN,0,717.781,717.781,0.016
199.746,NaN,0,717.781,717.781,0.016
200.02,NaN,0,717.781,717.781,0.016
200.294,NaN,0,717.781,717.781,0.016
200.567,NaN,0,717.781,717.781,0.016
200.84,NaN,0,717.781,717.781,0.016
201.114,NaN,0,717.781,717.781,0.016
201.387,NaN,0,717.781,717.781,0.016
201.661,NaN,0,717.781,717.781,0.016
201.934,NaN,0,717.781,717.781,0.016
202.208,NaN,0,717.781,717.781,0.016
202.481,NaN,0,717.781,717.781,0.016
202.754,NaN,0,717.781,717.781,0.016
203.028,NaN,0,717.781,717.781,0.016
203.301,NaN,0,717.781,717.781,0.016
203.574,NaN,0,717.781,717.781,0.016
# Event GROUND_HIT occurred at t=204.06 seconds
# Event SIMULATION_END occurred at t=204.06 seconds
204.06,NaN,0,717.781,717.781,0.016
