time_s,barometer_v1
0.0,96452.70476668856
0.01,96455.39791013939
0.02,96453.89473894415
0.03,96453.59105632105
0.04,96455.20453345003
0.05,96455.58808703229
0.06,96453.9095710328
0.07,96452.4562789471
0.08,96452.29194742528
0.09,96452.58805716809
0.1,96450.6927771191
0.11,96449.91511033395
0.12,96449.89939464768
0.13,96448.7880331005
0.14,96447.42694624589
0.15,96446.82028258398
0.16,96444.59999285427
0.17,96443.48857870055
0.18,96440.68627824608
0.19,96439.1133100397
0.2,96438.20736201548
0.21,96436.6202406814
0.22,96433.9910849615
0.23,96432.10274275279
0.24,96428.75492964011
0.25,96425.91206532552
0.26,96424.36267861722
0.27,96421.38509403037
0.28,96417.44113156963
0.29,96414.97774157756
0.3,96413.19234721648
0.31,96409.24273370889
0.32,96407.33639980492
0.33,96403.86650702672
0.34,96400.17699812436
0.35000000000000003,96395.60813386911
0.36,96394.00285112116
0.37,96389.5962787568
0.38,96384.36762802472
0.39,96382.87143591455
0.4,96375.98205307484
0.41000000000000003,96373.56674511061
0.42,96369.60139210652
0.43,96365.27514476178
0.44,96359.83615561326
0.45,96356.26654092502
0.46,96351.87374401613
0.47000000000000003,96346.69522519373
0.48,96342.0661435456
0.49,96335.60153091741
0.5,96330.22118683568
0.51,96325.10637597102
0.52,96319.59123708139
0.53,96315.39591809778
0.54,96309.49392171414
0.55,96302.83952006369
0.56,96298.6592490855
0.5700000000000001,96292.16809956514
0.58,96285.89055123455
0.59,96279.53276787359
0.6,96271.55786838589
0.61,96268.70509646411
0.62,96258.2866245691
0.63,96254.4860183807
0.64,96246.93045428346
0.65,96239.4945469058
0.66,96233.57440189521
0.67,96226.15301163604
0.68,96219.85933712422
0.6900000000000001,96210.8418675349
0.7000000000000001,96203.43563591778
0.71,96197.74291078145
0.72,96188.12671671297
0.73,96180.05715514228
0.74,96174.0447064147
0.75,96165.34615389457
0.76,96157.3674910951
0.77,96150.43286038168
0.78,96139.52693822265
0.79,96130.35149761234
0.8,96122.56545814035
0.81,96112.27295915347
0.8200000000000001,96105.69220198713
0.8300000000000001,96096.74957409086
0.84,96086.82532205393
0.85,96075.39970168048
0.86,96068.50007062823
0.87,96057.62866798029
0.88,96049.51295704338
0.89,96038.51294725791
0.9,96028.48722785177
0.91,96020.423425959
0.92,96010.68041546625
0.93,95998.01603681552
0.9400000000000001,95987.70248174675
0.9500000000000001,95976.24391897027
0.96,95966.20570726057
