time_s,gnss_x,gnss_y,gnss_z
0.0,33.49864099644529,-99.3375993124239,418.7372196605987
0.1,33.4986158164124,-99.3375850407933,421.39373743772563
0.2,33.498651070462046,-99.33765677307278,413.5705350614818
0.3,33.498610146209614,-99.33759743324924,419.3995095995894
0.4,33.49863238921297,-99.33755962435195,424.2009128887842
0.5,33.49862107319462,-99.3376638310068,428.2353159832558
0.6,33.49861616790007,-99.3376340746554,422.6896379547039
0.7000000000000001,33.49862208464568,-99.33759736563961,436.6833452475339
0.8,33.49860846377636,-99.33761407415936,437.98564722111047
0.9,33.49862992531207,-99.33761785277375,456.31724877379116
1.0,33.49857525097628,-99.33760625573841,461.93325634426736
1.1,33.498636384627126,-99.33759080972433,472.2175927354942
1.2,33.498633468435116,-99.33759281281147,478.785240507058
1.3,33.49865837398375,-99.33760107046872,497.7939064071231
1.4000000000000001,33.49858139595885,-99.33768702322661,504.0131036088399
1.5,33.49865418499617,-99.33765605455825,519.882270863419
1.6,33.498626017254665,-99.33764761353224,542.0473086453081
1.7,33.498613306900346,-99.33764065110591,560.7054425516864
1.8,33.49861973985645,-99.33765699118251,575.2285742716155
1.9000000000000001,33.49867259608373,-99.3377094523664,593.620736506051
2.0,33.49866204344039,-99.33766853492112,614.5317876419331
2.1,33.498629124722186,-99.33770517705227,644.1868422947437
2.2,33.498612434100046,-99.3376820378637,657.918265321816
2.3000000000000003,33.49860305598003,-99.33766002921607,690.6982247703968
2.4,33.49859741403252,-99.33766109506361,713.2824538772745
2.5,33.49864657439812,-99.33773302344838,728.8735511953016
2.6,33.49864652935059,-99.33772093177262,759.6515852070924
2.7,33.49868295002766,-99.33772220833848,786.2926187563197
2.8000000000000003,33.49867757324945,-99.33773973933279,803.6542729399434
2.9,33.498681157056446,-99.33776414676183,835.3321460325034
3.0,33.49866560432032,-99.33776399180958,867.1409812873619
3.1,33.49867167250896,-99.3377114655552,891.1337136050455
3.2,33.49865085795165,-99.33771203562239,921.5134044562664
3.3000000000000003,33.498706125056515,-99.33777698674997,946.4070560720465
3.4,33.498641331066985,-99.33778092388776,969.9793764400702
3.5,33.49869788478656,-99.33784519684346,1000.9232156736344
3.6,33.498665802114296,-99.33779985778685,1029.816166244493
3.7,33.49866277211133,-99.33780785779862,1055.453592263841
3.8000000000000003,33.498692284636505,-99.33781408228089,1083.7454934869706
3.9,33.49872047786867,-99.33784187733423,1108.1431972753307
4.0,33.49868172826983,-99.33788847643318,1143.5868935317887
4.1,33.49868272915466,-99.33789989778423,1169.4553233467436
4.2,33.49867702548856,-99.33788214814331,1186.8353510132129
4.3,33.49873883951966,-99.33790010823863,1215.3639948744294
4.4,33.49868357684306,-99.3379366332501,1248.3827091300684
4.5,33.4987309209814,-99.33787798964846,1269.6105585467503
4.6000000000000005,33.498710597457865,-99.33786430667632,1292.447203407254
4.7,33.498682862900104,-99.33795960533486,1313.6509893500133
4.8,33.49876204613191,-99.3379599027137,1337.0283825956612
4.9,33.49868858326512,-99.3380329884989,1368.7034607698108
5.0,33.49875016213262,-99.33797828735698,1387.1347132728197
5.1000000000000005,33.49874389249185,-99.33794123673957,1408.4334354046318
5.2,33.49872484611077,-99.33799027371872,1448.4700489057614
5.3,33.4987675244766,-99.33803507850396,1466.1697214750682
5.4,33.498759845147354,-99.3379994323767,1486.8746404062558
5.5,33.49873335503629,-99.33803616605236,1513.4196995105574
5.6000000000000005,33.49879035302457,-99.33803444278735,1532.9332602623228
5.7,33.498734569045034,-99.33797932857227,1552.3254718084158
5.8,33.49878936110028,-99.33797792199124,1582.4416356158017
5.9,33.498769652826326,-99.33805678713277,1606.1222008109842
6.0,33.498756725899945,-99.33812802565353,1628.790991302071
6.1000000000000005,33.49875444804857,-99.338082411168,1655.4305280581277
6.2,33.49874022757921,-99.33810115566916,1662.8991371838106
6.3,33.49871618367162,-99.33811169649407,1691.0470387875177
6.4,33.49877480674794,-99.33812785857582,1710.5925173864473
6.5,33.49877863053651,-99.33811060197307,1742.233167677174
6.6000000000000005,33.498820193862464,-99.33811374628363,1754.2425112950543
6.7,33.498823814910224,-99.33813676828771,1775.4564476820758
6.8,33.49882474824429,-99.33813553589087,1797.1229590058738
6.9,33.49876098655275,-99.3381677015815,1823.0510809537586
7.0,33.4987972522228,-99.338129881902,1837.3645211153591
7.1000000000000005,33.4988123311386,-99.33814822198528,1863.8846107692107
7.2,33.49879016737478,-99.33815999480161,1875.7158521251436
7.3,33.49878153455485,-99.33809180127247,1900.1925823472714
7.4,33.49884627175842,-99.33819716726157,1920.1221631097792
7.5,33.4987618371632,-99.33820358207967,1938.9909848343602
7.6000000000000005,33.498834405381615,-99.33821053980252,1948.0809392215938
7.7,33.49878411339549,-99.33830247188784,1982.192821839535
7.8,33.49879862582661,-99.33819247379957,1991.4222483728809
7.9,33.49882017243204,-99.33821383716561,2016.5015418969842
8.0,33.49883104091855,-99.33825250114813,2042.2152224820131
8.1,33.49884710773617,-99.33822027055804,2062.072052114955
8.2,33.49880000727875,-99.3382744980099,2070.285088495814
8.3,33.498828723674684,-99.33824996389787,2090.391473375773
