time_s,barometer_v1
0.0,96454.65335720745
0.01,96454.37966327943
0.02,96452.50358387145
0.03,96454.65137405926
0.04,96453.39938165175
0.05,96452.70890407404
0.06,96453.2187459321
0.07,96454.255314135
0.08,96452.65315031732
0.09,96451.0559839718
0.1,96451.38696150728
0.11,96449.43134452638
0.12,96446.77927000703
0.13,96447.82404393173
0.14,96444.66420445037
0.15,96446.09327775355
0.16,96445.0907163606
0.17,96444.91001664929
0.18,96441.12267006324
0.19,96440.97388587204
0.2,96436.85907456971
0.21,96434.98711130877
0.22,96432.81912260235
0.23,96431.90606866208
0.24,96429.80631529879
0.25,96428.28282453482
0.26,96424.11972783052
0.27,96420.58605757663
0.28,96417.93361799061
0.29,96415.45434416231
0.3,96413.42823998486
0.31,96410.41273676351
0.32,96406.25684712187
0.33,96404.07377830721
0.34,96400.95295788141
0.35000000000000003,96395.94754159496
0.36,96393.37036551767
0.37,96389.57532301037
0.38,96387.18787591145
0.39,96381.25229612064
0.4,96376.72797296973
0.41000000000000003,96375.47476438727
0.42,96369.56679839815
0.43,96364.99451350121
0.44,96360.78295641889
0.45,96355.16158175132
0.46,96351.23559089944
0.47000000000000003,96347.05749784855
0.48,96342.37468823446
0.49,96335.18123471475
0.5,96331.21076451956
0.51,96326.59223916315
0.52,96320.56891823173
0.53,96314.73691524021
0.54,96308.7231258383
0.55,96303.29259069765
0.56,96297.1567599638
0.5700000000000001,96291.25866332624
0.58,96285.68135153507
0.59,96279.66380667574
0.6,96273.3319213301
0.61,96267.84898866435
0.62,96259.44991390727
0.63,96254.07908515669
0.64,96246.28310763824
0.65,96239.74461418444
0.66,96233.31671990795
0.67,96226.74005162013
0.68,96217.8055974999
0.6900000000000001,96211.13855555793
0.7000000000000001,96203.85511305803
0.71,96196.43218294808
0.72,96187.8890571058
0.73,96181.78867121479
0.74,96172.64957512326
0.75,96165.42587842842
0.76,96157.00630880757
0.77,96147.82082623473
0.78,96138.93504817372
0.79,96131.71468320128
0.8,96122.41936587445
0.81,96112.74655063218
0.8200000000000001,96104.85514920416
0.8300000000000001,96097.02298715033
0.84,96086.96706179394
0.85,96077.59207219591
0.86,96069.33229405864
0.87,96060.43633898797
0.88,96049.21202704194
0.89,96038.36269255134
0.9,96028.66993666856
0.91,96017.76613116851
0.92,96010.23546907942
0.93,95998.35851387367
0.9400000000000001,95987.87078301278
0.9500000000000001,95978.43028810258
0.96,95965.85603980653
0.97,95956.85561850082
0.98,95946.81240935813
0.99,95934.17659974491
1.0,95922.1032445037
1.01,95911.32879939575
1.02,95898.35469434697
1.03,95889.19272769497
1.04,95876.61280648145
1.05,95863.22001736912
1.06,95850.55928623397
1.07,95841.5541086942
1.08,95829.41073927213
1.09,95817.2966063612
1.1,95803.66600148095
1.11,95792.82537501318
1.12,95779.48366167434
1.1300000000000001,95765.82864466071
1.1400000000000001,95753.19541361323
1.1500000000000001,95739.6263348103
1.16,95726.85248568768
1.17,95712.80564816938
1.18,95699.18622885921
1.19,95686.5478640653
1.2,95673.57123130292
1.21,95658.46293160786
1.22,95645.03106975922
1.23,95631.11338422056
1.24,95617.66515790652
1.25,95603.62700682654
1.26,95588.48515296528
1.27,95573.52080078956
1.28,95560.28549023937
1.29,95541.22397353055
1.3,95528.74927389782
1.31,95513.9544079698
1.32,95499.22039543068
1.33,95483.11917392189
1.34,95469.27077894952
1.35,95451.36358714443
1.36,95436.76289264929
1.37,95419.84995087498
1.3800000000000001,95404.61088794266
1.3900000000000001,95389.07268699609
1.4000000000000001,95371.87373870888
1.41,95355.3694886357
1.42,95339.39391040152
1.43,95322.34752706513
1.44,95307.14694929037
1.45,95289.56118629011
1.46,95271.12360116131
1.47,95253.80916170603
1.48,95236.82009154456
1.49,95220.79718467609
