time_s,barometer_v1
0.0,96454.14803513487
0.01,96453.13006041569
0.02,96456.24273290546
0.03,96453.8897390166
0.04,96453.31027404738
0.05,96452.86082028253
0.06,96450.97656918364
0.07,96453.27089267105
0.08,96451.56090672298
0.09,96450.2410788923
0.1,96451.78542429257
0.11,96449.40277425644
0.12,96447.676076884
0.13,96449.18160294057
0.14,96446.70519950135
0.15,96445.55738653618
0.16,96444.79868594813
0.17,96443.66303028357
0.18,96440.95481373709
0.19,96439.80273803098
0.2,96435.79564275527
0.21,96437.06324192016
0.22,96433.37804267593
0.23,96431.72784721083
0.24,96429.9086555123
0.25,96427.60250449606
0.26,96424.56506529631
0.27,96424.15708978543
0.28,96419.71478898305
0.29,96415.51890192424
0.3,96413.5311836571
0.31,96410.89365972142
0.32,96405.68198450562
0.33,96404.47706813164
0.34,96397.45201365498
0.35000000000000003,96396.92069662611
0.36,96394.31941758344
0.37,96389.54487139737
0.38,96385.51191490411
0.39,96381.67469181572
0.4,96376.11693272997
0.41000000000000003,96373.92593796924
0.42,96369.50733264566
0.43,96362.42981466764
0.44,96359.17835733086
0.45,96355.5134912178
0.46,96352.49959133852
0.47000000000000003,96346.37214896591
0.48,96343.14378383041
0.49,96337.31047729812
0.5,96331.98187494402
0.51,96326.07607089308
0.52,96319.93459279639
0.53,96314.10699825303
0.54,96308.86202664995
0.55,96302.67611311462
0.56,96297.3637210737
0.5700000000000001,96291.51978405412
0.58,96286.76292182937
0.59,96279.24053508957
0.6,96274.06590261651
0.61,96265.09630673246
0.62,96257.92025982948
0.63,96254.48580383832
0.64,96245.88108858297
0.65,96239.45525415443
0.66,96232.90460328224
0.67,96225.7634815422
0.68,96218.35405824885
0.6900000000000001,96211.82416222719
0.7000000000000001,96203.7974524746
0.71,96196.49659635311
0.72,96189.06394938329
0.73,96180.53620080213
0.74,96172.96998413562
0.75,96163.45969608666
0.76,96156.5941498022
0.77,96147.53069482296
0.78,96138.47236001617
0.79,96131.11985595713
0.8,96122.20325078971
0.81,96112.23251504736
0.8200000000000001,96105.27965717358
0.8300000000000001,96095.7642447369
0.84,96087.57136997145
0.85,96078.25528852825
0.86,96066.5325282793
0.87,96059.7851085224
0.88,96049.54827162412
0.89,96037.67924824334
0.9,96028.05644670501
0.91,96017.98257516221
0.92,96009.49623472657
0.93,95997.77844529282
0.9400000000000001,95989.71552046247
0.9500000000000001,95976.43810795732
0.96,95967.56586436702
0.97,95954.84857211687
0.98,95945.7572933281
0.99,95934.72973243988
1.0,95922.48963985103
1.01,95913.37472175134
1.02,95901.3787097366
1.03,95889.79799029586
1.04,95878.11279157578
1.05,95865.6388927329
1.06,95854.2413263415
1.07,95842.17297548556
1.08,95829.7184651544
1.09,95817.49750349704
1.1,95805.93735116825
1.11,95792.39327545333
1.12,95779.46653771673
1.1300000000000001,95766.43131948882
1.1400000000000001,95752.13548456892
1.1500000000000001,95740.18442386511
1.16,95725.95143411776
1.17,95713.1171340007
1.18,95702.2462477912
1.19,95687.11757430242
1.2,95672.09518265266
1.21,95659.9928876026
1.22,95644.6788468955
1.23,95631.8633284081
1.24,95617.30483168202
1.25,95603.41637735748
1.26,95587.68802353702
1.27,95574.83037074051
1.28,95560.20409359898
1.29,95544.63253865755
1.3,95526.76155058126
1.31,95515.27997288333
1.32,95499.80373797475
1.33,95483.37771504854
1.34,95468.37272099352
1.35,95452.695456237
1.36,95436.90336898652
1.37,95419.2345088659
1.3800000000000001,95405.09139264305
1.3900000000000001,95386.68868471008
1.4000000000000001,95371.59463058932
1.41,95353.99293265793
1.42,95339.59356199234
1.43,95320.60525292828
1.44,95305.69610862972
1.45,95289.95436553263
1.46,95272.34467219397
1.47,95254.35162530575
1.48,95235.92154415959
1.49,95219.20973410955
