time_s,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,barometer_v1,gnss_x,gnss_y,gnss_z
0.0,-0.004254618764368082,0.0012523712367813705,-9.778309305568337,-0.00018668356392394122,0.0006446249476671608,0.0009965355985596515,96454.18486370973,33.49861174941459,-99.33763796690046,420.19466355366853
0.01,-0.00047768160849945344,0.0025551853448098085,16.58151541704743,-0.001511892781007635,4.318936643527728e-05,0.0001341555287047928,,,,
0.02,0.0014442347274224048,0.0005261549784230015,30.068607802644973,0.000943513867939241,0.0012928726867078057,0.0019055267427873922,96453.55907290839,,,
0.03,0.000987551822544677,-0.0009396522270153374,43.55406555390092,-0.0010015611905981488,0.0013161917959271395,0.0011564449266704246,,,,
0.04,-0.0019773324392962023,-0.0008014140139239365,57.054106920139404,-0.0002289525219192483,-0.000617572393641227,0.00037178072952043033,96454.04751731934,,,
0.05,0.0032635405012848206,0.002833877481762906,68.57312981910485,-0.001357925480358374,0.00021910130970394866,0.0009115188682567756,,,,
0.06,-0.0034202002619055155,3.8028640637748046e-05,80.08581914598265,-0.0005830728200686481,-8.802870767363671e-05,-0.001549263131421632,96453.46649887733,,,
0.07,-0.006806032691118136,0.0038459876063161222,83.50545960197995,0.0008498369935022321,-0.0013046244080717193,0.0007960353280322981,,,,
0.08,0.003263450962322049,-0.004152139181938911,86.85571162593313,0.0004886643195726184,0.0014483124428120678,-0.0014095811158146515,96451.84097685853,,,
0.09,0.004117093089028993,0.0009041304414048786,86.29204231244093,-0.0009345333798764595,-0.0006696156711794612,-0.0015277742221039127,,,,
0.1,-0.00039514563287793003,-0.0010128669435598067,85.6767692313014,-0.0002973890692691962,-0.0010828111289972694,0.0008627610840160331,96451.58898893153,33.49867175030176,-99.33766676157262,417.8162373905013
0.11,0.00571912328584974,-0.004104763189273028,85.18217895209398,0.0009329976425492273,-0.0013578810617589597,0.00044354667697844277,,,,
0.12,-0.0038225769218683432,0.0020697942660327473,84.68512280003907,-0.0013014670873761692,-0.00028565817712826854,0.00010951524216644823,96449.59430071588,,,
0.13,-0.00031818284364799746,0.0025373921610092258,84.41100452144467,-0.0005239252693383876,-0.00027935977940735134,0.0019761973043558065,,,,
0.14,0.0012400630227234683,-0.0013610815726491977,84.13241057121722,0.000810041781651414,0.0004259826982485285,-0.0016270786879841767,96447.03657125271,,,
0.15,0.002436017140325598,0.002803373241737456,84.13394746858572,-0.00015939088037930654,0.0012602334370605927,1.3697604915297523e-05,,,,
0.16,0.0025163162018638735,0.002130128079412804,84.12778827064244,-0.0007190129827915897,-0.0010322858965244829,-0.0003827664107640729,96445.29390281948,,,
0.17,-0.0043505706655474295,-0.0041593746590654485,84.25977440574208,-0.000668438017498889,-0.0014378243093304058,-0.001260692482245537,,,,
0.18,-0.006668823678772296,-0.001293294981812963,84.38867281636931,0.0009656691605298056,0.0007709847690326346,-0.00234560909168022,96441.65842062981,,,
0.19,0.002794535599680647,0.004294617775684404,84.37047398043157,-0.0009798987917394835,0.0011786104464261728,-0.0016178672894090753,,,,
0.2,0.0052159055241822235,-0.004268739975312863,84.35064695398341,0.001030090230977254,0.0011903442193385522,-0.0009368125854810874,96438.57850713716,33.4986124013441,-99.33761418447146,423.73284747538827
0.21,-0.004552389279407738,0.003042085144930772,84.37757336131669,-0.0004391098540984551,0.0008399030411657847,0.0014083106047401226,,,,
0.22,-0.003115853462118312,-0.002349732364378567,84.41418468282141,5.071703272449317e-05,0.0010072053872672028,0.001501019363478562,96433.65294500314,,,
0.23,0.0042170119233782615,0.0048942478941137795,84.45673342196822,6.493501887733355e-05,-0.000426211042260638,0.0001036883718948081,,,,
0.24,0.004000164442060482,0.0023763222009906076,84.50175282758184,-0.0002969577620929345,0.00012218317060198707,-0.0005575713934863801,96428.66182200439,,,
0.25,-0.00448547122865762,-0.00031792714910595276,84.53991146925317,-0.0009276988589342822,-0.000472956024038506,0.00040506430514277526,,,,
0.26,-0.005805841441680583,0.0037200818405429626,84.58030562016076,-0.0007047311854448948,3.212003532974798e-06,-6.14139745939311e-05,96423.2102334408,,,
0.27,-0.0001923117898617657,-0.003098719368014497,84.73564596809241,0.0013363357396608793,0.0002977581885728429,7.536997899343606e-05,,,,
0.28,0.0053327352682938384,-0.006452376357300386,84.87292455185269,0.0004874852907551941,-0.0007658652519186869,0.0009219979303825895,96418.85226839109,,,
0.29,0.003871875172625226,0.0011457255282415696,85.0281835774439,6.924433924656845e-05,0.0009262902502955977,-0.0009236722940383337,,,,
0.3,0.007928043447857691,6.669778359676347e-05,85.18241563388487,0.00011599862247802874,-0.0011736362231987618,0.0010345946087431726,96414.32062290523,33.498613019535156,-99.33763606913207,425.9675045306844
0.31,-0.0026026831442909773,-0.0018688217282782943,85.32032984577177,-0.0010269378696367516,-0.0005505736725647771,0.001809747054104129,,,,
0.32,8.730357640193185e-05,0.002324626568026671,85.47073208935795,0.0012036238779523471,-0.00023872851238210117,-0.0006387380518113081,96406.9715452286,,,
0.33,0.003247267006153056,0.00295399748695677,85.60586616437477,7.274498706198127e-05,-0.00014999474481843748,-8.572688559549414e-05,,,,
0.34,0.0030114462160177177,0.0007742716687218078,85.7503434621211,-2.1742196203519163e-05,-0.001234962233382481,-1.2943221513226491e-05,96400.70749113799,,,
0.35000000000000003,-0.0019811240043963612,0.00048589001621157825,85.8592220870607,0.0009575045012643966,-4.210358842493698e-05,-0.0009550414496492633,,,,
0.36,-0.002648336175612892,0.0006534866880319517,85.96860290715567,0.0017781773090988257,-0.0011759010930260452,0.0006286507533131328,96393.5699009628,,,
0.37,-0.002840195220434536,-0.003490425581118585,86.08681250407918,0.0025461258011618454,-0.0016775321457676569,0.0006410502610546769,,,,
0.38,-0.0029987770305362725,0.0006102252719622385,86.21689980985956,0.0021426953412627577,-0.000942304002369465,0.0013556248686509324,96384.97440717347,,,
0.39,0.001686471225395908,-0.0034287659457441885,86.36462403007809,-0.0012594421020942236,-0.0006132496624848139,0.0007044146243456433,,,,
0.4,0.005790038091283737,-0.003375757766411985,86.51108395925789,-0.0019182221543470484,-0.000787218506838874,0.0010484670268054647,96378.80469664466,33.49865358516125,-99.33762843087975,418.03573636233295
0.41000000000000003,-0.0028029550054278663,-0.004736386786141934,86.84648534279772,-0.0004770949996163528,0.002659010122689292,-0.0006050664323381266,,,,
0.42,-0.0047689633688537195,-0.003725591776708784,87.1967304438013,0.0007051722980495376,-0.0006318423176388868,-0.0015001029656818167,96368.16732364686,,,
