time_s,barometer_v1
0.0,96455.6750869086
0.01,96456.43838633935
0.02,96453.20440027755
0.03,96455.07828777087
0.04,96452.78403325556
0.05,96455.34999324722
0.06,96453.97665538806
0.07,96452.76667841797
0.08,96453.53048980465
0.09,96454.54797899428
0.1,96450.63562410908
0.11,96449.94021426048
0.12,96449.68957802608
0.13,96450.66564562602
0.14,96447.30342463167
0.15,96445.17386258082
0.16,96446.06895358824
0.17,96443.16955020008
0.18,96439.67428785491
0.19,96439.36563906066
0.2,96437.2675977427
0.21,96433.86272542318
0.22,96432.04039113103
0.23,96432.53785841863
0.24,96429.48976437573
0.25,96426.80450329652
0.26,96426.24463001067
0.27,96421.69216479958
0.28,96418.34351474981
0.29,96418.3547705268
0.3,96413.45700940603
0.31,96410.80618012218
0.32,96406.59052459341
0.33,96402.97033894376
0.34,96401.60900670147
0.35000000000000003,96395.91534764445
0.36,96395.78769211266
0.37,96389.14148002146
0.38,96386.10532224189
0.39,96381.42204206967
0.4,96377.3627030545
0.41000000000000003,96374.87402306935
0.42,96370.53523122624
0.43,96365.25558760698
0.44,96359.63814067411
0.45,96356.35032183878
0.46,96352.52406651055
0.47000000000000003,96345.8380759746
0.48,96341.14241343089
0.49,96336.36203221916
0.5,96333.03392615904
0.51,96324.22552176518
0.52,96320.75327597886
0.53,96314.42411357201
0.54,96309.43750435727
0.55,96303.80965171343
0.56,96298.7464550275
0.5700000000000001,96291.08250302046
0.58,96284.89808877185
0.59,96276.81443645692
0.6,96275.48351039016
0.61,96268.09636697792
0.62,96258.49991528028
0.63,96252.1923761794
0.64,96245.42577467856
0.65,96240.13116952378
0.66,96232.03400997576
0.67,96225.64854997782
0.68,96217.98603208808
0.6900000000000001,96211.53647771408
0.7000000000000001,96204.96251551193
0.71,96195.19033819459
0.72,96188.27549413436
0.73,96182.01975034898
0.74,96174.18432286155
0.75,96165.31236926232
0.76,96156.92847912117
0.77,96148.17489712957
0.78,96141.24261603918
0.79,96131.25157279831
0.8,96122.90543918114
0.81,96114.74799773787
0.8200000000000001,96102.95903552008
0.8300000000000001,96095.20565170288
0.84,96083.73840763386
0.85,96077.85353507863
0.86,96068.83022043727
0.87,96060.16049216995
0.88,96048.34576588543
0.89,96039.26266737333
0.9,96028.81435812375
0.91,96019.3481250041
0.92,96008.64364737675
0.93,95998.15548114899
0.9400000000000001,95987.40994496629
0.9500000000000001,95976.08889882785
0.96,95966.64397551742
0.97,95958.03935034656
0.98,95944.05362235756
0.99,95936.09707340696
1.0,95922.61424576599
1.01,95913.5341820302
1.02,95900.85146298501
1.03,95889.20900712458
1.04,95875.45687758365
1.05,95866.77736095455
1.06,95854.06798388797
1.07,95840.54325603876
1.08,95831.54052224883
1.09,95815.71926410512
1.1,95805.96899984339
1.11,95791.20384310174
1.12,95779.06469471885
1.1300000000000001,95767.28168436686
1.1400000000000001,95753.00817207323
1.1500000000000001,95739.1753694702
1.16,95727.40876233333
1.17,95712.57932100403
1.18,95701.42366824466
1.19,95688.16019271481
1.2,95672.57463777116
1.21,95658.65162820376
1.22,95642.74939364693
1.23,95630.93469414157
1.24,95616.58413281188
1.25,95602.82938495181
1.26,95585.7864373307
1.27,95571.81650469913
1.28,95559.59188559234
1.29,95542.79359180159
1.3,95529.17560858285
1.31,95514.32449974805
1.32,95498.7147153986
1.33,95483.67256078943
1.34,95468.23287337307
1.35,95452.89247208969
1.36,95435.73154743065
1.37,95421.08170104091
1.3800000000000001,95404.18051479312
1.3900000000000001,95387.32447553964
1.4000000000000001,95373.1630551874
1.41,95355.70928115379
1.42,95339.32354421951
1.43,95322.68952787634
1.44,95306.34201640617
1.45,95288.92143463352
1.46,95271.26886957082
1.47,95252.86165945277
1.48,95238.8796741666
1.49,95219.11132038332
1.5,95200.47962846207
1.51,95183.49934069965
1.52,95166.88139501099
1.53,95148.9959902822
1.54,95131.19200017315
1.55,95112.48950165739
1.56,95093.84892141026
1.57,95075.30951755968
1.58,95055.6877738254
1.59,95035.66954566716
1.6,95018.2036958396
1.61,95002.28422802896
